"Stage","NodeType","EventProfile","SpiritStoneElement","ThemeZh","ThemeEn","DetailZh","DetailEn","EventMode","CooldownMonths","BattleExpReward","BattleSpiritStoneReward","NonBattleExpReward","NonBattleSpiritStoneReward","Notes"
"1","Rest","VillageStart","Metal","山门外围","Outer Hills","安全起点，用来整备装备、温习功法并确认前几关路线。","Safe opening stop for equipment prep skill review and route planning.","Fixed","0","26","17","12","10","测试期固定服务点"
"2","Battle","DefaultBattle","Wood","山门外围","Outer Hills","普通战斗，可获得修为、灵石与装备掉落。","Standard battle for growth, spirit stones, and equipment drops.","None","0","34","22","10","8","常规推进战"
"3","Elite","DefaultElite","Water","山门外围","Outer Hills","精英战斗，成长更多，掉落也更好。","Elite battle with higher growth and better loot.","None","0","42","27","12","10","章节前段精英"
"4","Rest","TradeMarket","Fire","山门外围","Outer Hills","固定交易点，可反复进入，但所有收益都需要付出资源成本。","Repeatable market stop. Every gain here still costs resources.","Fixed","0","50","32","26","18","测试期前段固定交易"
"5","Battle","DefaultBattle","Earth","山门外围","Outer Hills","普通战斗，可获得修为、灵石与装备掉落。","Standard battle for growth, spirit stones, and equipment drops.","None","0","58","37","16","14","常规推进战"
"6","Battle","DefaultBattle","Metal","山门外围","Outer Hills","普通战斗，可获得修为、灵石与装备掉落。","Standard battle for growth, spirit stones, and equipment drops.","None","0","66","42","18","16","常规推进战"
"7","Rest","WanderingFortune","Wood","山门外围","Outer Hills","随机机缘点，触发一次后需等待数月才会再次恢复。","Random opportunity stop that refreshes after several months.","Random","4","74","47","38","27","测试期前段随机机缘"
"8","Elite","DefaultElite","Water","山门外围","Outer Hills","精英战斗，强度略升，是章节中段的第一次检验。","An elite battle that checks whether your mid-chapter build is online.","None","0","82","52","22","20","章节中段精英"
"9","Battle","DefaultBattle","Fire","山门外围","Outer Hills","普通战斗，可获得修为、灵石与装备掉落。","Standard battle for growth, spirit stones, and equipment drops.","None","0","90","57","24","22","常规推进战"
"10","Rest","InsightSanctum","Earth","山门外围","Outer Hills","高阶机缘点，可在首领前换一轮更激进的成长。","High-tier insight stop for a sharper power spike before the boss.","Fixed","0","98","62","26","24","测试期前段静室"
"11","Battle","DefaultBattle","Metal","山门外围","Outer Hills","测试期间事件点前置到前几关，此处暂以普通战斗替代。","During testing event nodes are front-loaded. This slot is temporarily a standard battle.","None","0","106","67","28","26","测试期替换为战斗"
"12","Elite","DefaultElite","Wood","山门外围","Outer Hills","精英战斗，掉落更优，适合检验这一段的资源转化效率。","An elite battle with better loot that tests your resource conversion this chapter.","None","0","114","72","30","28","章节中后段精英"
"13","Rest","TrialForge","Water","山门外围","Outer Hills","高压成长点，可用现有资源换一轮冲刺强化。","High-pressure growth stop that trades current resources for a sprint upgrade.","Fixed","0","122","77","32","30","测试期前段熔炉"
"14","Battle","DefaultBattle","Fire","山门外围","Outer Hills","测试期间事件点前置到前几关，此处暂以普通战斗替代。","During testing event nodes are front-loaded. This slot is temporarily a standard battle.","None","0","130","82","34","32","测试期替换为战斗"
"15","Battle","DefaultBattle","Earth","山门外围","Outer Hills","普通战斗，可获得修为、灵石与装备掉落。","Standard battle for growth, spirit stones, and equipment drops.","None","0","138","87","36","34","常规推进战"
"16","Elite","DefaultElite","Metal","山门外围","Outer Hills","高压精英战，首领战前的重要门槛。","A high-pressure elite battle that serves as an important gate before the boss.","None","0","146","92","38","36","首领前精英"
"17","Battle","DefaultBattle","Wood","山门外围","Outer Hills","测试期间事件点前置到前几关，此处暂以普通战斗替代。","During testing event nodes are front-loaded. This slot is temporarily a standard battle.","None","0","154","97","40","38","测试期替换为战斗"
"18","Battle","DefaultBattle","Water","山门外围","Outer Hills","普通战斗，可获得修为、灵石与装备掉落。","Standard battle for growth, spirit stones, and equipment drops.","None","0","162","102","42","40","常规推进战"
"19","Elite","DefaultElite","Fire","山门外围","Outer Hills","首领前压轴精英战，决定你能否带着完整状态挑战本章首领。","A final elite battle before the boss that decides whether you enter the chapter climax in good shape.","None","0","170","107","44","42","首领前终检"
"20","Boss","DefaultBoss","Earth","山门外围","Outer Hills","章节首领战，取胜后方可进入下一重区域。","A chapter boss battle. Victory unlocks the next region.","None","0","178","112","46","44","章节首领"
"21","Battle","DefaultBattle","Metal","焚风古道","Burning Trail","测试期间事件点前置到前几关，此处暂以普通战斗替代。","During testing event nodes are front-loaded. This slot is temporarily a standard battle.","None","0","186","117","48","46","测试期替换为战斗"
"22","Battle","DefaultBattle","Wood","焚风古道","Burning Trail","普通战斗，可获得修为、灵石与装备掉落。","Standard battle for growth, spirit stones, and equipment drops.","None","0","194","122","50","48","常规推进战"
"23","Elite","DefaultElite","Water","焚风古道","Burning Trail","精英战斗，成长更多，掉落也更好。","Elite battle with higher growth and better loot.","None","0","202","127","52","50","章节前段精英"
"24","Battle","DefaultBattle","Fire","焚风古道","Burning Trail","测试期间事件点前置到前几关，此处暂以普通战斗替代。","During testing event nodes are front-loaded. This slot is temporarily a standard battle.","None","0","210","132","54","52","测试期替换为战斗"
"25","Battle","DefaultBattle","Earth","焚风古道","Burning Trail","普通战斗，可获得修为、灵石与装备掉落。","Standard battle for growth, spirit stones, and equipment drops.","None","0","218","137","56","54","常规推进战"
"26","Battle","DefaultBattle","Metal","焚风古道","Burning Trail","普通战斗，可获得修为、灵石与装备掉落。","Standard battle for growth, spirit stones, and equipment drops.","None","0","226","142","58","56","常规推进战"
"27","Battle","DefaultBattle","Wood","焚风古道","Burning Trail","测试期间事件点前置到前几关，此处暂以普通战斗替代。","During testing event nodes are front-loaded. This slot is temporarily a standard battle.","None","0","234","147","60","58","测试期替换为战斗"
"28","Elite","DefaultElite","Water","焚风古道","Burning Trail","精英战斗，强度略升，是章节中段的第一次检验。","An elite battle that checks whether your mid-chapter build is online.","None","0","242","152","62","60","章节中段精英"
"29","Battle","DefaultBattle","Fire","焚风古道","Burning Trail","普通战斗，可获得修为、灵石与装备掉落。","Standard battle for growth, spirit stones, and equipment drops.","None","0","250","157","64","62","常规推进战"
"30","Battle","DefaultBattle","Earth","焚风古道","Burning Trail","普通战斗，可获得修为、灵石与装备掉落。","Standard battle for growth, spirit stones, and equipment drops.","None","0","258","162","66","64","常规推进战"
"31","Battle","DefaultBattle","Metal","焚风古道","Burning Trail","测试期间事件点前置到前几关，此处暂以普通战斗替代。","During testing event nodes are front-loaded. This slot is temporarily a standard battle.","None","0","266","167","68","66","测试期替换为战斗"
"32","Elite","DefaultElite","Wood","焚风古道","Burning Trail","精英战斗，掉落更优，适合检验这一段的资源转化效率。","An elite battle with better loot that tests your resource conversion this chapter.","None","0","274","172","70","68","章节中后段精英"
"33","Battle","DefaultBattle","Water","焚风古道","Burning Trail","普通战斗，可获得修为、灵石与装备掉落。","Standard battle for growth, spirit stones, and equipment drops.","None","0","282","177","72","70","常规推进战"
"34","Battle","DefaultBattle","Fire","焚风古道","Burning Trail","测试期间事件点前置到前几关，此处暂以普通战斗替代。","During testing event nodes are front-loaded. This slot is temporarily a standard battle.","None","0","290","182","74","72","测试期替换为战斗"
"35","Battle","DefaultBattle","Earth","焚风古道","Burning Trail","普通战斗，可获得修为、灵石与装备掉落。","Standard battle for growth, spirit stones, and equipment drops.","None","0","298","187","76","74","常规推进战"
"36","Elite","DefaultElite","Metal","焚风古道","Burning Trail","高压精英战，首领战前的重要门槛。","A high-pressure elite battle that serves as an important gate before the boss.","None","0","306","192","78","76","首领前精英"
"37","Battle","DefaultBattle","Wood","焚风古道","Burning Trail","测试期间事件点前置到前几关，此处暂以普通战斗替代。","During testing event nodes are front-loaded. This slot is temporarily a standard battle.","None","0","314","197","80","78","测试期替换为战斗"
"38","Battle","DefaultBattle","Water","焚风古道","Burning Trail","普通战斗，可获得修为、灵石与装备掉落。","Standard battle for growth, spirit stones, and equipment drops.","None","0","322","202","82","80","常规推进战"
"39","Elite","DefaultElite","Fire","焚风古道","Burning Trail","首领前压轴精英战，决定你能否带着完整状态挑战本章首领。","A final elite battle before the boss that decides whether you enter the chapter climax in good shape.","None","0","330","207","84","82","首领前终检"
"40","Boss","DefaultBoss","Earth","焚风古道","Burning Trail","章节首领战，取胜后方可进入下一重区域。","A chapter boss battle. Victory unlocks the next region.","None","0","338","212","86","84","章节首领"
"41","Battle","DefaultBattle","Metal","地宫遗迹","Deep Ruins","测试期间事件点前置到前几关，此处暂以普通战斗替代。","During testing event nodes are front-loaded. This slot is temporarily a standard battle.","None","0","346","217","88","86","测试期替换为战斗"
"42","Battle","DefaultBattle","Wood","地宫遗迹","Deep Ruins","普通战斗，可获得修为、灵石与装备掉落。","Standard battle for growth, spirit stones, and equipment drops.","None","0","354","222","90","88","常规推进战"
"43","Elite","DefaultElite","Water","地宫遗迹","Deep Ruins","精英战斗，成长更多，掉落也更好。","Elite battle with higher growth and better loot.","None","0","362","227","92","90","章节前段精英"
"44","Battle","DefaultBattle","Fire","地宫遗迹","Deep Ruins","测试期间事件点前置到前几关，此处暂以普通战斗替代。","During testing event nodes are front-loaded. This slot is temporarily a standard battle.","None","0","370","232","94","92","测试期替换为战斗"
"45","Battle","DefaultBattle","Earth","地宫遗迹","Deep Ruins","普通战斗，可获得修为、灵石与装备掉落。","Standard battle for growth, spirit stones, and equipment drops.","None","0","378","237","96","94","常规推进战"
"46","Battle","DefaultBattle","Metal","地宫遗迹","Deep Ruins","普通战斗，可获得修为、灵石与装备掉落。","Standard battle for growth, spirit stones, and equipment drops.","None","0","386","242","98","96","常规推进战"
"47","Battle","DefaultBattle","Wood","地宫遗迹","Deep Ruins","测试期间事件点前置到前几关，此处暂以普通战斗替代。","During testing event nodes are front-loaded. This slot is temporarily a standard battle.","None","0","394","247","100","98","测试期替换为战斗"
"48","Elite","DefaultElite","Water","地宫遗迹","Deep Ruins","精英战斗，强度略升，是章节中段的第一次检验。","An elite battle that checks whether your mid-chapter build is online.","None","0","402","252","102","100","章节中段精英"
"49","Battle","DefaultBattle","Fire","地宫遗迹","Deep Ruins","普通战斗，可获得修为、灵石与装备掉落。","Standard battle for growth, spirit stones, and equipment drops.","None","0","410","257","104","102","常规推进战"
"50","Battle","DefaultBattle","Earth","地宫遗迹","Deep Ruins","普通战斗，可获得修为、灵石与装备掉落。","Standard battle for growth, spirit stones, and equipment drops.","None","0","418","262","106","104","常规推进战"
"51","Battle","DefaultBattle","Metal","地宫遗迹","Deep Ruins","测试期间事件点前置到前几关，此处暂以普通战斗替代。","During testing event nodes are front-loaded. This slot is temporarily a standard battle.","None","0","426","267","108","106","测试期替换为战斗"
"52","Elite","DefaultElite","Wood","地宫遗迹","Deep Ruins","精英战斗，掉落更优，适合检验这一段的资源转化效率。","An elite battle with better loot that tests your resource conversion this chapter.","None","0","434","272","110","108","章节中后段精英"
"53","Battle","DefaultBattle","Water","地宫遗迹","Deep Ruins","普通战斗，可获得修为、灵石与装备掉落。","Standard battle for growth, spirit stones, and equipment drops.","None","0","442","277","112","110","常规推进战"
"54","Battle","DefaultBattle","Fire","地宫遗迹","Deep Ruins","测试期间事件点前置到前几关，此处暂以普通战斗替代。","During testing event nodes are front-loaded. This slot is temporarily a standard battle.","None","0","450","282","114","112","测试期替换为战斗"
"55","Battle","DefaultBattle","Earth","地宫遗迹","Deep Ruins","普通战斗，可获得修为、灵石与装备掉落。","Standard battle for growth, spirit stones, and equipment drops.","None","0","458","287","116","114","常规推进战"
"56","Elite","DefaultElite","Metal","地宫遗迹","Deep Ruins","高压精英战，首领战前的重要门槛。","A high-pressure elite battle that serves as an important gate before the boss.","None","0","466","292","118","116","首领前精英"
"57","Battle","DefaultBattle","Wood","地宫遗迹","Deep Ruins","测试期间事件点前置到前几关，此处暂以普通战斗替代。","During testing event nodes are front-loaded. This slot is temporarily a standard battle.","None","0","474","297","120","118","测试期替换为战斗"
"58","Battle","DefaultBattle","Water","地宫遗迹","Deep Ruins","普通战斗，可获得修为、灵石与装备掉落。","Standard battle for growth, spirit stones, and equipment drops.","None","0","482","302","122","120","常规推进战"
"59","Elite","DefaultElite","Fire","地宫遗迹","Deep Ruins","首领前压轴精英战，决定你能否带着完整状态挑战本章首领。","A final elite battle before the boss that decides whether you enter the chapter climax in good shape.","None","0","490","307","124","122","首领前终检"
"60","Boss","DefaultBoss","Earth","地宫遗迹","Deep Ruins","章节首领战，取胜后方可进入下一重区域。","A chapter boss battle. Victory unlocks the next region.","None","0","498","312","126","124","章节首领"
"61","Battle","DefaultBattle","Metal","登天阶","Ascension Path","测试期间事件点前置到前几关，此处暂以普通战斗替代。","During testing event nodes are front-loaded. This slot is temporarily a standard battle.","None","0","506","317","128","126","测试期替换为战斗"
"62","Battle","DefaultBattle","Wood","登天阶","Ascension Path","普通战斗，可获得修为、灵石与装备掉落。","Standard battle for growth, spirit stones, and equipment drops.","None","0","514","322","130","128","常规推进战"
"63","Elite","DefaultElite","Water","登天阶","Ascension Path","精英战斗，成长更多，掉落也更好。","Elite battle with higher growth and better loot.","None","0","522","327","132","130","章节前段精英"
"64","Battle","DefaultBattle","Fire","登天阶","Ascension Path","测试期间事件点前置到前几关，此处暂以普通战斗替代。","During testing event nodes are front-loaded. This slot is temporarily a standard battle.","None","0","530","332","134","132","测试期替换为战斗"
"65","Battle","DefaultBattle","Earth","登天阶","Ascension Path","普通战斗，可获得修为、灵石与装备掉落。","Standard battle for growth, spirit stones, and equipment drops.","None","0","538","337","136","134","常规推进战"
"66","Battle","DefaultBattle","Metal","登天阶","Ascension Path","普通战斗，可获得修为、灵石与装备掉落。","Standard battle for growth, spirit stones, and equipment drops.","None","0","546","342","138","136","常规推进战"
"67","Battle","DefaultBattle","Wood","登天阶","Ascension Path","测试期间事件点前置到前几关，此处暂以普通战斗替代。","During testing event nodes are front-loaded. This slot is temporarily a standard battle.","None","0","554","347","140","138","测试期替换为战斗"
"68","Elite","DefaultElite","Water","登天阶","Ascension Path","精英战斗，强度略升，是章节中段的第一次检验。","An elite battle that checks whether your mid-chapter build is online.","None","0","562","352","142","140","章节中段精英"
"69","Battle","DefaultBattle","Fire","登天阶","Ascension Path","普通战斗，可获得修为、灵石与装备掉落。","Standard battle for growth, spirit stones, and equipment drops.","None","0","570","357","144","142","常规推进战"
"70","Battle","DefaultBattle","Earth","登天阶","Ascension Path","普通战斗，可获得修为、灵石与装备掉落。","Standard battle for growth, spirit stones, and equipment drops.","None","0","578","362","146","144","常规推进战"
"71","Battle","DefaultBattle","Metal","登天阶","Ascension Path","测试期间事件点前置到前几关，此处暂以普通战斗替代。","During testing event nodes are front-loaded. This slot is temporarily a standard battle.","None","0","586","367","148","146","测试期替换为战斗"
"72","Elite","DefaultElite","Wood","登天阶","Ascension Path","精英战斗，掉落更优，适合检验这一段的资源转化效率。","An elite battle with better loot that tests your resource conversion this chapter.","None","0","594","372","150","148","章节中后段精英"
"73","Battle","DefaultBattle","Water","登天阶","Ascension Path","普通战斗，可获得修为、灵石与装备掉落。","Standard battle for growth, spirit stones, and equipment drops.","None","0","602","377","152","150","常规推进战"
"74","Battle","DefaultBattle","Fire","登天阶","Ascension Path","测试期间事件点前置到前几关，此处暂以普通战斗替代。","During testing event nodes are front-loaded. This slot is temporarily a standard battle.","None","0","610","382","154","152","测试期替换为战斗"
